row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"12,16,18,34,50,60,78","1","18,34,60,78",""
2,"12,16,34,41,50,53,73","1","53,73",""
3,"1,12,16,34,41,47,50,53","1","1,47,53",""
4,"12,16,34,41,50,55,59","1","55,59",""
5,"12,16,25,34,41,50","1","25",""
6,"12,16,18,34,50,78","1","18,34,78",""
7,"12,16,20,34,41,50","1","20",""
8,"12,16,34,46,50,56,60,72","1","56,60,72",""
9,"6,9,12,16,26,34,50,71","1","6,9,26,40,71",""
10,"12,16,34,50,78","1","34,78",""
11,"12,16,22,34,41,50,51","1","22,27,51",""
12,"2,12,16,34,50,72","1","2,72",""
13,"1,12,16,34,41,50,77","1","1,77","1"
14,"12,16,22,34,41,50,51","1","22,27,51",""
15,"12,16,29,34,50","1","12,39",""
16,"12,16,34,41,48,50,52,64","1","48,52,64",""
17,"2,9,12,16,26,34,50","1","2,9,26",""
18,"2,9,12,16,26,34,50","1","2,9,26",""
19,"12,16,34,41,50,65,74","1","65,74",""
20,"2,9,34","1","2,9","2"
21,"12,16,21,25,34,41,50","1","21,25",""
22,"12,16,34,43,44,50","1","43,44",""
23,"11,12,16,34,42,50","1","11,42",""
24,"1,12,16,34,41,47,50,77","1","1,47,77",""
25,"12,16,29,30,34,50,67","1","30,67",""
26,"12,16,29,34,50","1","3","3"
27,"12,16,29,34,50","1","3,50",""
28,"2,12,16,34,50,72","1","2,72",""
29,"12,16,23,34,45,50","1","23,40,45",""
30,"","","4","4"
31,"12,16,34,41,57,64","1","57,64",""
32,"12,14,16,31,34,41,50,69","1","14,31,69",""
33,"5,12,16,34,46,50","1","5","5"
34,"12,16,34,46,50,56,61","1","56,61",""
35,"6,9,12,16,34,50,71","1","6,9,40,71",""
36,"12,16,19,34,36,41,50,69","1","19,36,69",""
37,"11,12,16,33,34,50","1","11,33",""
38,"12,16,18,34,44,50","1","18,44",""
39,"12,16,34,37,42,50","1","37,42",""
40,"16,34,41,58","1","41,58",""
41,"12,16,29,32,34,50,75","1","3,32,75",""
42,"24,41","1","4,24,49",""
43,"2,12,16,34","1","2",""
44,"12,16,22,28,34,41,48,50","1","22,28,48",""
45,"6,12,16,34,50","1","6,40","6"
46,"2,9,12,16,26,34,50,70,72","1","2,9,26,70,72",""
47,"12,16,23,34,50","1","23",""
48,"24,41","1","24,41",""
49,"7,12,16,17,33,34,41,50","1","7,17,33","7"
50,"8,12,16,34,41,50","1","8","8"
51,"9","","9,40","9"
52,"10,12,16,34,46,50","1","10","10"
53,"11,12,16,34,42,50","1","11,42","11"
54,"12,16,29,34,50","1","12,39","12"
55,"12,16,34,38,41,50,59","1","38,41,59",""
56,"1,12,16,34,41,50,77","1","1,77",""
57,"12,13,16,19,34,41,50,51,52","1","13,19,51,52",""
58,"12,16,34,41,48,50,64","1","48,64",""
59,"12,16,18,34,43,44,50","1","18,43,44",""
60,"24,41","1","4,24,49",""
61,"6,12,16,34,50,71","1","6,40,71",""
62,"12,13,16,25,34,41,50,52","1","13,25,52","13"
63,"12,16,34,41,48,57,64","1","48,57,64",""
64,"41","1","4,49",""
65,"24,41","1","4,24,49",""
66,"41","1","4,49",""
67,"12,16,28,34,37,41,50","1","28,37",""
68,"12,16,29,34,45,50,75","1","45,66,75",""
69,"12,16,34,41,57,64","1","57,64",""
70,"12,16,20,34,41,50,58,74","1","20,58,74",""
71,"12,13,16,34,41,50,51,52","1","13,51,52",""
72,"12,16,29,34,50","1","12,39",""
73,"11,12,16,18,34,42,50","1","11,18,34,42",""
74,"10,12,16,34,46,50,61","1","10,61",""
75,"12,16,34,41,50,53,73","1","53,73",""
76,"12,16,34,50","1","16",""
77,"12,14,16,34,41,50","1","14","14"
78,"12,16,34,50,62","1","62,63",""
79,"12,16,34,46,50,56,70,72","1","56,70,72",""
80,"41","1","41",""
81,"6,12,16,23,34,50","1","6,23,40",""
82,"12,16,29,34,50,54","1","50,54",""
83,"12,16,29,32,34,50","1","3,32",""
84,"12,16,31,34,41,57","1","31,57",""
85,"12,16,31,34,41,50,69","1","31,69",""
86,"12,16,34,35,50,61,62","1","35,61,62,63",""
87,"12,16,22,34,41,48,50,51","1","22,48,51",""
88,"12,16,29,30,32,34,50","1","3,30,32",""
89,"12,16,34,41,50,53,73","1","53,73",""
90,"1,12,16,34,41,50","1","1",""
91,"41","1","41",""
92,"8,12,16,34,41,50,55","1","8,55",""
93,"12,16,34,35,46,50,56,61","1","35,56,61",""
94,"12,16,34,35,50,60,72","1","35,60,72",""
95,"12,13,16,19,34,41,50,52","1","13,19,52",""
96,"12,15,16,34","1","15","15"
97,"12,16,34,46,50,56,61","1","46,56,61",""
98,"12,16,29,34,50,54","1","50,54",""
99,"2,9,12,16,26,34,50,72","1","2,9,26,72",""
100,"12,16,17,28,34,41,48,50,64","1","17,28,48,64",""
101,"12,16,34,50","1","16","16"
102,"12,16,29,34,50,67","1","12,39,67",""
103,"16,34,41,58","1","58",""
104,"12,16,34,50","1","39",""
105,"24,41","1","4,24,49",""
106,"5,12,16,34,46,50","1","5,16",""
107,"12,14,16,31,34,41,50,69","1","14,31,69",""
108,"11,12,16,34,50","1","11,34,63",""
109,"12,16,29,30,32,34,50","1","3,29,30,32",""
110,"12,16,17,34,41,50","1","17","17"
111,"12,16,18,34,44,50","1","18,44","18"
112,"12,16,34,41,50,55,59,65","1","55,59,65",""
113,"12,13,16,19,34,41,50,52","1","13,19,52","19"
114,"12,16,29,34,50,67,68","1","29,67,68",""
115,"12,16,34,50","1","16",""
116,"5,12,16,26,34,46,50,70","1","5,26,70",""
117,"12,16,29,34,50,68","1","29,66,68",""
118,"12,16,34,50,60,78","1","60,78",""
119,"8,12,16,34,41,73","1","8,73",""
120,"12,16,34,41,64","1","64",""
121,"12,16,34,36,41,47,50","1","36,47",""
122,"12,16,20,34,41,50","1","20","20"
123,"12,16,21,34,41,50","1","21","21"
