GeneID	Spleen_rep1	Spleen_rep2	Spleen_rep3	Spleen_rep4	Spleen_rep5	Spleen_rep6
XP_005560025.1	1.69032	2.27414	0.0	3.17774	0.0	
XP_005560033.1	0.0	0.0	0.0	0.0	0.0	
XP_005560048.1	8.91424	0.448859	0.000769475	7.44072	0.851209	
XP_005560051.3	0.0	0.0	0.0	0.0	0.0	
XP_005560057.1	11.4987	7.27749	7.56142	6.19204	9.26667	
XP_005560059.1	0.40826	0.226078	0.127598	0.249	0.154765	
XP_005560060.4	289.351	109.925	227.908	180.193	192.068	
XP_005560061.1	1.02529	2.75829	1.06121	2.01918	1.35761	
XP_005560069.1	11.4733	10.7443	16.2724	9.92422	11.7669	
XP_005560116.3	0.0	0.0	0.0	0.0	0.0	
XP_005560123.3	197.824	169.884	172.033	194.268	179.187	
XP_005560129.2	14.4837	17.7504	20.8072	17.2309	12.2739	
XP_005560132.1	10.2289	12.1042	11.4157	12.8034	12.9423	
XP_005560137.1	5.18621	4.37617	2.99808	6.48608	4.33608	
XP_005560145.2	1.26518	0.568794	2.19751	0.989196	2.48154	
XP_005560146.1	0.00235401	0.00767861	0.00269228	0.00171177	0.00364145	
XP_005560153.1	0.528798	0.371464	0.627666	0.493914	0.297002	
XP_005560154.3	7.30237	6.38485	7.77438	2.8771	7.05666	
XP_005560165.1	7.40851	8.1376	5.30051	5.65648	7.11324	
XP_005560166.1	3.05492	2.68122	4.2699	3.07927	2.49977	
XP_005560175.2	0.0	0.0	0.0446098	0.0148957	0.0	
XP_005560176.1	5.06284	3.92061	4.21823	4.71204	3.68083	
XP_005560177.1	66.9849	68.5716	72.905	69.8002	70.5173	
XP_005560178.1	32.6787	28.1092	26.3905	28.4696	26.0031	
XP_005560181.1	0.388671	1.17833	0.251428	0.480231	0.30906	
XP_005560183.2	14.2155	10.6704	9.18046	17.0242	15.879	
XP_005560188.3	27.9384	47.9306	25.5214	43.5118	34.4003	
XP_005560189.3	69.2098	86.4664	93.5925	76.2956	70.4793	
XP_005560192.1	16.7852	14.5514	12.9859	12.6898	15.8646	
XP_005560197.1	0.189621	0.0	0.0	0.0626195	0.0	
XP_005560206.1	2.19351	1.31116	1.33423	2.16322	0.27833	
XP_005560207.1	20.479	20.4437	22.913	16.8864	16.4933	
XP_005560222.2	26.4738	31.9633	22.9924	33.3198	33.9776	
XP_005560226.1	120.626	107.596	91.6232	116.401	124.487	
XP_005560228.3	43.5919	30.2342	31.6716	54.5996	41.7917	
XP_005560240.3	24.8752	13.6392	20.0386	7.47997	9.57022	
XP_005560250.1	1.75329	2.26553	1.62219	2.29863	1.56538	
XP_005560253.3	0.0428667	0.0745295	0.110124	0.0680375	0.0411365	
XP_005560256.1	23.1726	17.9282	21.132	20.5055	19.9228	
XP_005560257.1	0.0169592	0.0	0.0	0.0147898	0.0	
XP_005560260.1	3.37207	3.9697	2.5668	4.41691	6.31339	
XP_005560263.3	8.63228	9.14418	5.67926	7.71321	11.5943	
XP_005560264.1	8.62377	6.55811	9.24064	9.92949	5.75544	
XP_005560266.1	33.2315	25.2931	29.2157	30.5305	29.515	
XP_005560267.1	1.71969	2.03147	1.69357	0.37195	1.59428	
XP_005560270.2	0.360289	0.22993	0.478736	0.278833	0.405413	
XP_005560273.2	0.504044	0.268335	0.517488	0.328907	0.364747	
XP_005560277.1	4.47344	1.52299	2.74318	3.89121	3.17742	
XP_005560280.1	327.789	321.378	254.802	250.072	275.012	
XP_005560284.3	0.00611691	0.006869	0.00745439	0.012441	0.0195597	
XP_005560285.1	55.6563	62.5106	67.7808	55.6341	51.4633	
XP_005560288.1	15.2624	10.6619	17.6839	14.8188	12.457	
XP_005560294.1	120.8	93.9667	128.453	107.529	96.9128	
XP_005560305.3	1.489	2.31468	1.99434	2.48031	1.24002	
XP_005560307.1	0.177174	0.511046	0.00568414	1.19016	0.0905835	
XP_005560317.3	0.452205	0.474626	0.200285	0.515715	0.592427	
XP_005560318.1	25.6092	17.5927	17.206	21.8569	17.8031	
XP_005560320.3	0.00796995	0.0	0.0290199	0.0	0.0	
XP_005560322.3	0.0	0.0	0.0	0.0	0.0	
XP_005560332.2	28.8094	27.1311	26.1299	29.7074	28.2724	
XP_005560334.3	0.882186	0.916833	0.485199	1.22095	0.704143	
XP_005560335.3	13.3652	12.9759	12.0664	14.6602	12.695	
XP_005560341.3	0.0674211	0.530963	0.135115	0.199109	0.0236946	
XP_005560357.1	0.682035	0.777199	0.511876	0.788633	0.797892	
XP_005560359.1	36.8295	28.8012	27.8023	28.4182	30.9723	
XP_005560362.1	1.43184	2.4613	0.695225	1.71524	1.78905	
XP_005560373.3	14.9856	15.2917	12.6435	18.1294	16.8494	
XP_005560374.2	0.240764	0.17667	0.0415168	0.134982	0.171736	
XP_005560435.3	0.152495	0.0	0.0	0.0	0.515352	
XP_005560439.3	0.0	0.0	0.0	0.0	0.0	
XP_005560443.1	2.42233	2.42086	2.28504	1.85008	1.89621	
XP_005560453.3	11.0212	8.26885	7.40095	10.9842	10.9395	
XP_005560454.3	6.9239	1.52006	5.04986	4.70157	4.40955	
XP_005560463.3	0.0	0.0	0.0	0.0	0.0	
XP_005560473.3	0.186013	0.285457	0.2154	0.583205	0.57058	
XP_005560485.3	50.7671	55.3438	57.7815	50.2143	47.5094	
XP_005560504.1	2.11868e-08	0.36241	0.257778	0.760702	0.000471258	
XP_005560510.3	57.0426	88.9297	109.12	85.2704	119.025	
XP_005560514.3	4.38109	8.39735	3.88609	4.38593	5.07794	
XP_005560519.1	7.2941	7.24834	3.14109	4.91777	5.39586	
XP_005560521.1	0.0247214	0.0	0.0599985	0.0300469	0.0	
XP_005560522.1	32.6031	30.5502	19.7461	32.2794	35.1126	
XP_005560528.1	0.00630485	0.0	0.0	0.0306907	0.0	
XP_005560530.3	0.223312	0.30115	0.365848	0.593339	0.688198	
XP_005560542.3	2.651	3.20218	1.48441	3.96079	4.164	
XP_005560548.2	0.0	1.39704	0.0	0.000231044	0.0	
XP_005560550.3	0.0	0.0	0.0	0.0146122	0.0	
XP_005560551.2	0.081962	0.137286	0.0	0.0298864	0.158916	
XP_005560552.3	0.981242	0.845384	1.68661	0.960413	1.17526	
XP_005560553.1	21.7113	19.5768	20.4556	20.4964	20.0549	
XP_005560554.2	3.94869	3.29885	3.75806	3.41797	2.59271	
XP_005560568.1	193.737	230.92	304.711	217.279	230.714	
XP_005560572.3	0.367756	0.411796	0.339147	0.514351	0.598338	
XP_005560574.3	87.0231	64.8837	67.2297	76.8222	78.0858	
XP_005560575.2	22.616	16.7154	18.5489	23.6291	27.3483	
XP_005560579.3	2.74977	0.217523	2.53036	5.31301	3.96544	
XP_005560593.1	13.7392	14.1888	9.33063	13.8546	12.4032	
XP_005560603.1	15.8295	16.8446	11.433	12.9651	14.8594	
XP_005560609.1	0.489937	0.467695	4.71668e-08	0.220914	1.35221e-07	
XP_005560612.2	9.38716	5.54253	2.1346	3.80247	6.90123	
XP_005560621.3	4.7289	5.87841	4.32797	9.07348	4.71508	
XP_005560624.1	162.448	100.212	123.044	157.565	125.16	
XP_005560631.3	7.35564	6.1762	6.19606	5.84158	4.20842	
XP_005560632.1	7.63335	11.3402	5.36952	12.8222	11.7863	
XP_005560634.3	2.72193	2.88297	2.49284	1.70979	2.60143	
XP_005560639.4	0.238763	0.43002	0.000151444	0.572798	9.63833e-05	
XP_005560648.1	6.8433	4.28814	7.48667	7.11752	7.57503	
XP_005560664.1	0.0	0.0	0.0	0.00405736	0.0	
XP_005560666.1	8.49981	7.98311	7.13895	7.7753	8.17271	
XP_005560674.1	15.4172	15.599	11.9287	11.5522	13.9396	
XP_005560676.2	95.07	79.9427	77.3817	91.6959	74.4708	
XP_005560681.1	7.42007	5.15172	6.50198	3.84701	9.77071	
XP_005560688.2	0.0	0.0	0.0	0.0	0.0	
XP_005560689.3	0.0852789	0.099625	0.174712	0.0802227	0.11857	
XP_005560690.3	0.0	0.0	0.0	0.0	0.0	
XP_005560691.3	0.0	0.0	0.0	0.0	0.0	
XP_005560693.3	0.0	0.0	0.0	0.0	0.0	
XP_005560694.3	0.0	0.0	0.0	0.0	0.0	
XP_005560695.3	0.0	0.0	0.0	0.0	0.0	
XP_005560696.2	0.0	0.0	0.0	0.0	0.0	
XP_005560709.3	0.0116229	0.0	0.0	0.0	0.0269719	
XP_005560713.2	0.0	0.0	0.0	0.0	0.0	
XP_005560715.3	0.0	0.0	0.0	0.0	0.0	
XP_005560716.3	0.0	0.0	0.0	0.0	0.0	
XP_005560718.3	0.0	0.0	0.0	0.0152792	0.0	
XP_005560719.3	0.0	0.243232	0.0	0.0	0.0	
XP_005560720.2	0.0704977	0.101895	0.126025	0.0107363	0.021486	
XP_005560721.3	18.0548	19.3406	16.4915	21.0275	19.7095	
XP_005560730.2	32.293	32.9182	30.0963	41.7001	35.7837	
XP_005560731.3	8.03454	14.6482	15.0343	11.9995	12.7103	
XP_005560737.3	0.000154579	0.445213	0.0960607	0.332542	0.428477	
XP_005560743.1	59.2134	60.8656	54.388	72.2408	60.7979	
XP_005560744.2	63.8765	51.2798	40.7773	61.5111	51.9601	
XP_005560752.1	39.6205	19.985	23.4581	28.7584	20.9566	
XP_005560753.2	0.539894	0.0	0.0	0.331954	0.0	
XP_005560766.3	119.7	119.326	84.4434	75.5579	85.6983	
XP_005560768.1	0.190675	0.127229	0.0	0.107838	0.310492	
XP_005560769.3	176.438	144.571	94.2007	132.976	121.674	
XP_005560771.1	0.155985	0.503115	0.0	0.183859	0.0	
XP_005560776.3	1.1283	0.402602	0.244069	1.37886	2.2395	
XP_005560779.2	34.4261	31.5188	25.1274	35.0606	36.8871	
XP_005560781.2	2.04935	3.84155e-07	0.135977	0.304346	0.779088	
XP_005560839.1	63.655	63.2088	59.8629	75.7035	68.795	
XP_005560840.1	67.8935	60.2418	40.1911	77.2243	68.1634	
XP_005560841.1	56.2076	46.0589	44.083	64.6677	58.2949	
XP_005560842.1	20.0976	19.8353	17.9283	17.5638	18.6285	
XP_005560844.2	0.0	0.0	0.0	0.0	0.0	
XP_005560845.2	0.423582	0.157794	0.0	0.417868	0.0	
XP_005560853.3	0.136102	0.139275	0.104436	0.179391	0.200474	
XP_005560857.1	225.555	212.529	245.352	216.015	185.175	
XP_005560858.4	117.521	107.99	116.371	137.077	116.59	
XP_005560870.1	56.0107	38.1472	36.3771	31.9966	32.2517	
XP_005560871.3	105.954	74.2794	68.3717	82.5024	81.9013	
XP_005560873.1	0.629443	1.43028	0.345301	0.724599	1.17816	
XP_005560876.2	25.659	22.5204	26.2171	24.5924	19.3636	
XP_005560879.3	1.69191	0.347153	0.0221287	0.174734	0.516789	
XP_005560886.2	12.8853	6.50739	5.41805	6.00143	4.78035	
XP_005560892.2	61.5946	65.7987	65.8623	63.8331	62.9089	
XP_005560895.3	0.0	0.00603237	3.07973e-09	3.66853e-05	0.00144163	
XP_005560901.3	94.8647	13.3804	16.0662	34.5812	23.1674	
XP_005560906.3	1.49813	0.338667	0.204612	0.901819	0.988008	
XP_005560910.2	9.54359	6.66177	7.5084	7.48887	5.94561	
XP_005560913.2	5.13414	1.46566	2.51258	5.15653	2.45369	
XP_005560918.1	0.0484509	0.261657	0.0477939	0.0563361	0.0	
XP_005560921.2	4.5758	3.65418	7.03983	3.7915	4.11302	
XP_005560927.3	0.0439899	0.585943	0.0575875	0.174288	2.19102	
XP_005560929.1	0.0	1.59413e-06	0.0	5.16682e-08	13.3152	
XP_005560931.1	46.1517	43.9974	48.382	52.0473	47.1443	
XP_005560933.1	0.0791563	0.42229	0.0	0.207172	0.0	
XP_005560956.3	0.0992865	0.108125	0.00548137	0.510243	0.257028	
XP_005560965.2	1.38839	1.09233	1.27535	1.03728	0.790255	
XP_005560969.3	0.66814	0.94746	0.677658	0.800322	0.881246	
XP_005560971.1	21.4697	14.7769	23.3567	16.2219	15.5995	
XP_005560978.2	7.2528	8.02575	5.15972	7.80588	9.49252	
XP_005560985.2	4.23387	3.72719	7.9474	3.54485	7.60346	
XP_005560998.1	348.582	362.578	722.867	299.984	313.686	
XP_005560999.1	27.9225	18.5561	21.8328	19.4052	19.2851	
XP_005561002.2	14.4956	10.5501	9.60271	12.7966	17.4745	
XP_005561006.1	7.93313	8.71294	5.60848	8.76433	8.4478	
XP_005561012.3	0.0	0.0	0.0	0.0	0.0	
XP_005561019.1	166.899	176.681	219.121	178.041	160.101	
