GeneID	Muscle_rep1	Muscle_rep2	Muscle_rep3	Muscle_rep4	Muscle_rep5	Muscle_rep6
XP_038411007.1	9.80105	8.45405	8.35395	9.67063	5.79475	7.24698
XP_038411008.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411009.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411010.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411012.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411013.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411014.1	0.139357	0.0	0.413688	0.0	0.153239	0.533074
XP_038411015.1	2.05475	0.844534	3.53557	1.41695	7.57502	4.46386
XP_038411016.1	2.46459	1.03192	3.65204	1.91258	4.90729	2.54294
XP_038411017.1	0.0	0.0	0.0	0.0435132	0.0	0.0
XP_038411018.1	1163.28	1721.21	1504.15	1678.01	1462.81	1668.0
XP_038411019.1	0.0544855	0.0	0.0	0.0	0.0	0.0
XP_038411020.1	0.0834601	0.153273	0.278832	1.01885	0.233604	0.0
XP_038411021.1	9.16573	10.6756	24.2371	2.95534	32.9539	44.501
XP_038411022.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411023.1	0.52219	3.38557e-09	0.0	0.227081	0.0	0.000665857
XP_038411025.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411026.1	0.0272003	0.0127305	0.0826546	0.0188892	0.0	0.0112819
XP_038411027.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411028.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411029.1	0.0	0.0915422	0.0	0.0	0.0606898	0.0206996
XP_038411030.1	0.807163	0.324728	1.2489	2.38593	1.1983	0.597153
XP_038411032.1	16.8808	2.99269	11.1754	19.5958	19.0721	8.931
XP_038411033.1	7.62621	2.81071	5.59698	7.95567	5.29632	5.45479
XP_038411035.1	26.7346	13.6941	26.7538	36.3771	27.6577	26.2639
XP_038411037.1	9.21067	7.53927	12.2092	15.817	13.252	11.4612
XP_038411039.1	0.139211	0.0369897	0.0	0.138451	0.0	0.0548174
XP_038411041.1	0.0176694	0.0323218	0.0428583	0.049675	0.127784	0.0289913
XP_038411042.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411043.1	0.00858796	0.0	0.0859806	0.0	0.0	0.0139837
XP_038411044.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411045.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411046.1	0.010501	0.0	0.0	0.0	0.0	0.00698609
XP_038411047.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411051.1	0.0	0.0	0.0	0.000197321	0.0	0.0
XP_038411053.1	0.0589833	0.0853601	0.0	0.0	0.0	0.0
XP_038411055.1	0.0	0.0	0.0584028	0.0	0.0	0.0
XP_038411056.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411057.1	0.0350253	0.0	0.0	0.0	0.0	0.0
XP_038411058.1	7.44426	1.69069	13.4305	4.90099	4.3095	6.87891
XP_038411060.1	3.56292e-11	0.107463	0.0	0.0122556	0.0	0.0
XP_038411066.1	0.394585	0.369414	0.314774	0.208344	0.235609	0.378493
XP_038411067.1	0.0	0.0	0.0	0.0	0.0	6.21856e-10
XP_038411071.1	15.9459	16.6719	17.2627	20.9236	19.6215	19.5981
XP_038411073.1	1.79331e-05	0.000126691	5.37153e-05	0.000161036	0.000116562	4.81635e-05
XP_038411079.1	0.0	0.00729414	0.00941754	0.0	0.0190083	0.0
XP_038411080.1	2.65776	1.82305	3.8059	1.60229	1.8272	1.47165
XP_038411087.1	0.289087	0.0	0.0	0.48507	0.0	0.177639
XP_038411091.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411104.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411121.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411122.1	40.3076	42.8342	40.7117	22.6398	39.0904	31.4933
XP_038411125.1	1.05366	0.63951	0.968032	0.882147	1.5325	0.561781
XP_038411126.1	1.32217	0.758151	1.50367	0.93901	2.09754	0.630815
XP_038411129.1	13.0268	7.35301	3.42594	11.1845	15.7693	13.0789
XP_038411132.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411140.1	45.4157	43.188	39.8626	44.4788	28.8663	30.6361
XP_038411142.1	1.29289	0.0652276	0.00135129	9.01246	2.86455e-06	1.60395
XP_038411144.1	41.5702	37.408	43.7732	39.4521	41.1603	43.5748
XP_038411148.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411153.1	0.118446	0.202615	0.0	0.262149	0.0	0.0
XP_038411163.1	0.0488139	0.0	0.047295	0.0	0.0	0.0
XP_038411164.1	0.0	0.0343258	0.000223311	0.000205696	0.00688542	0.0632014
XP_038411170.1	8.72426	9.19762	9.47962	7.34899	10.2291	8.47043
XP_038411175.1	0.0	0.0	0.0	2.49151	0.0	0.226469
XP_038411176.1	12.5476	2.71116	10.6154	12.7298	9.55682	6.88699
XP_038411179.1	20.1588	23.1218	21.9972	20.0305	22.3529	17.6983
XP_038411183.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411188.1	1.23648	0.0	1.02982	2.74408	0.0	0.0
XP_038411189.1	0.847399	0.342488	0.660057	0.117553	0.2514	0.239782
XP_038411190.1	4.07106	3.7126	3.84837	4.31832	3.38988	3.49831
XP_038411192.1	9.51768	8.57403	9.55832	8.59776	6.98755	3.454
XP_038411194.1	0.0	0.0737372	0.0	0.0	0.0	0.0152072
XP_038411240.1	0.196966	0.145024	0.342377	0.175839	0.322566	0.150583
XP_038411241.1	0.0	0.0	0.0	0.0873759	0.0	0.0432137
XP_038411242.1	1.24312	1.90116	1.49524	1.4467	1.26641	0.81227
XP_038411245.1	1.39984e-06	0.00670161	0.0	0.0	0.381264	1.17514e-05
XP_038411259.1	163.44	236.315	111.2	133.512	463.261	204.931
XP_038411260.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411263.1	203.405	252.701	272.985	248.08	250.374	256.455
XP_038411264.1	0.0420316	0.159631	0.0	0.0972309	0.176293	0.0148201
XP_038411268.1	0.0471772	0.0	0.0	0.0	0.0	0.0
XP_038411270.1	0.0289391	0.0	0.0	0.0	0.0	0.0185469
XP_038411273.1	0.0267466	0.0	0.111966	0.0	0.0	0.0278724
XP_038411276.1	15.8096	19.409	15.4636	15.1917	15.7356	14.1973
XP_038411278.1	0.161763	0.0271022	0.128849	0.0633551	0.0387651	0.02984
XP_038411279.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411292.1	0.0	0.0369515	0.0	0.0108753	0.0	0.0
XP_038411294.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411296.1	0.0	0.00927434	0.0	0.0130676	0.0	0.0267766
XP_038411304.1	216.197	312.664	289.772	295.249	254.5	276.756
XP_038411305.1	6.66852	6.15279	7.78252	8.08947	8.16407	6.62035
XP_038411307.1	58.9944	34.3913	64.8688	62.305	64.505	39.4948
XP_038411310.1	0.00361632	0.0	0.0174814	0.0	0.0	0.0
XP_038411312.1	92.9818	98.8607	122.894	131.371	97.1594	111.585
XP_038411313.1	9.05431	5.64621	5.57057	6.46411	5.18534	5.20461
XP_038411314.1	3.06801	0.173951	0.202192	0.252307	0.151926	0.128984
XP_038411315.1	0.246334	0.142925	0.248305	0.1254	0.19071	0.298009
XP_038411319.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411321.1	0.360323	0.125014	0.252829	0.123884	0.0363057	0.0492742
XP_038411322.1	12.976	2.8175	4.43897	1.2172	1.55989	1.15701
XP_038411323.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411335.1	0.0832035	0.0492444	0.404883	0.0	0.202225	0.0428983
XP_038411339.1	7.23919	10.7862	7.88604	9.53456	24.8911	11.2342
XP_038411340.1	1.09358	1.11091	1.03556	1.06867	1.51741	0.592383
XP_038411342.1	0.0	0.0	0.0	0.0	9.48135e-11	0.0
XP_038411346.1	0.589022	0.892812	0.717524	1.06795	0.601061	0.535416
XP_038411349.1	37.2736	36.1619	40.9445	30.2707	37.7785	35.2788
XP_038411352.1	22.0386	32.2599	33.9098	57.282	56.2693	37.9929
XP_038411353.1	0.148204	0.162181	0.12872	0.0514173	0.0606908	0.0307975
XP_038411355.1	5.83484	6.10952	5.31353	6.87013	5.53595	7.41188
XP_038411357.1	32.6988	33.2752	37.8164	37.2179	26.9192	28.7928
XP_038411358.1	1.04001	0.335302	0.626176	0.325242	0.434445	0.573511
XP_038411362.1	0.0	0.0	0.0	1.75156	0.0	0.0
XP_038411363.1	0.0221993	0.0	0.0	0.0	0.0	0.0
XP_038411364.1	3.8539	3.45948	3.61771	2.39505	2.98608	2.952
XP_038411367.1	2.20561	2.90595	1.97926	4.29191	2.59293	1.96502
XP_038411369.1	0.153833	0.0	0.0	0.0	0.0	0.0637703
XP_038411371.1	119.377	188.079	79.5034	89.9395	162.963	146.798
XP_038411372.1	2.26235	2.05397	2.15624	2.8793	2.06165	2.79088
XP_038411377.1	57.4157	73.7763	39.65	38.0025	99.462	66.8569
XP_038411378.1	1.40717	1.9236	1.67567	1.29961	1.05591	1.28323
XP_038411380.1	0.0646197	0.122598	0.0949016	0.097975	0.0870858	0.0953225
XP_038411382.1	49.993	41.3348	46.5292	23.9853	52.7816	48.2275
XP_038411387.1	0.135502	0.0	0.0	0.0	3.29671e-10	0.327557
XP_038411390.1	0.0	1.61097e-08	0.0189224	0.000227993	1.16402e-06	0.0
XP_038411405.1	8.58575	7.81303	8.84135	8.01727	7.57343	8.17862
XP_038411406.1	591.408	549.277	487.659	471.527	602.727	621.289
XP_038411408.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411425.1	0.0	1.3913e-07	3.63576e-08	0.171818	6.85931e-08	0.0
