gene_id	muscle_dietM	muscle_dietP	whole_body_dietM	whole_body_dietP
FBpp0070000	16.34565	19.4054433333333	13.0413666666667	14.4955693333333
FBpp0070001	0.0629358333333333	0.0	51.6193666666667	34.3493
FBpp0070002	0.0181867333333333	0.0	0.0	0.0074515333333333
FBpp0070005	130.500346666667	134.90591	41.17294261	47.9990583146667
FBpp0070006	114.786333333333	80.0950666666667	135.727	123.477
FBpp0070007	19.1631	15.0385333333333	28.0409333333333	25.9318666666667
FBpp0070025	16.6532	13.3999666666667	32.6266333333333	26.0692666666667
FBpp0070026	1.5598891424	1.442264	10.7776753333333	11.7744603333333
FBpp0070027	40.7279166666667	33.6113966666667	52.9768766666667	56.8042133333333
FBpp0070028	0.0181867333333333	0.0	0.0	0.0074515333333333
FBpp0070031	0.0	0.0	0.0563345333333333	0.0
FBpp0070034	0.0	0.0157565	14.9659333333333	9.84687333333333
FBpp0070035	289.478	222.864333333333	35.5035666666667	44.0618
FBpp0070037	59.0215066666667	58.2693533333333	74.97564	84.75691
FBpp0070039	345.57403	313.828556666667	351.907826666667	351.468573333333
FBpp0070044	7.23378333333333	6.94324666666667	14.9027666666667	15.7883666666667
FBpp0070045	9.55906666666667	8.82581333333333	14.5193	16.0980666666667
FBpp0070049	0.0157377	0.0	24.2160549	18.0125312666667
FBpp0070051	24.1851333333333	18.5205666666667	34.2799666666667	30.6758666666667
FBpp0070052	0.0157377	0.0	24.2121813333333	17.9813986666667
FBpp0070054	6.92892333333333	4.80755	9.48278666666667	8.24439333333333
FBpp0070056	0.363566533333333	0.272437	76.8183206666667	51.6869937333333
FBpp0070057	140.518252333333	139.83299	215.195005666667	217.862614
FBpp0070063	25.9295	25.5582666666667	30.6923333333333	32.1369
FBpp0070065	31.6538049924767	69.3102599822467	44.2744705950547	50.6786786033333
FBpp0070068	0.2153783	0.101708933333333	100.467433333333	75.0309333333333
FBpp0070069	0.0926133333333333	0.119402733333333	0.166848866666667	0.1248217
FBpp0070070	0.0458852333333333	0.0094718	0.0662405666666667	0.0643421333333333
FBpp0070071	2.04254666666667	2.18651333333333	3.71331666666667	4.94792666666667
FBpp0070072	1.85224	2.01615	5.36899333333333	6.50649666666667
FBpp0070073	0.0354381333333333	0.0	0.414324333333333	0.605182
FBpp0070074	0.078216	0.0942439333333333	1.8637	2.44083666666667
FBpp0070076	2.38379866666667	3.28571095856667	6.028071	6.26659
FBpp0070077	21.5333800469567	15.2434833333333	28.088787	26.9787566666667
FBpp0070078	5.37103	4.55770666666667	13.6771333333333	12.3111666666667
FBpp0070079	0.3421021	0.298298333333333	1.48992933333333	1.390543
FBpp0070083	0.753837333333333	0.587809	19.9857666666667	16.9031166666667
FBpp0070085	18.929676	16.5469833333333	20.543892	20.6026683333333
FBpp0070087	74.93801	82.6455033333333	81.4395533333333	79.3472433333333
FBpp0070089	5.20154	3.97226333333333	10.7179333333333	10.3132033333333
FBpp0070094	561.343666666667	456.856333333333	136.333333333333	130.361333333333
FBpp0070095	0.0	0.0	3.97737	2.08274633333333
FBpp0070096	1.6207497924601	1.76539802992808	1.77922118231422	1.81810025333333
FBpp0070098	0.2679456	0.205471333333333	2.486857	2.659891
FBpp0070101	95.8466333333333	99.9879	54.9511666666667	57.7276666666667
FBpp0070103	16.5935386666667	15.6924806666667	17.827091	20.801298
FBpp0070105	0.0176871666666667	0.0111446666666667	3.23335533333333	2.87860066666667
FBpp0070110	29.3181666666667	24.5643333333333	24.7024666666667	18.7359333333333
FBpp0070111	8.19962333333333	7.35986232333333	12.463700871572	11.8076440412131
FBpp0070114	3.81837	4.02961	9.40331666666667	9.39943
FBpp0070115	18.6311510563406	15.7244093611379	22.102915185	24.7365177005
FBpp0070116	34.6391	26.9244333333333	27.111	28.0407333333333
FBpp0070124	318.27772	315.179775666667	274.879376667227	289.117806666667
FBpp0070129	182.932681	176.660271	105.573941333333	98.4616313333333
FBpp0070130	278.97105	261.818866666667	125.231227666667	137.720276333333
FBpp0070137	0.0	0.0	0.0344773333333333	0.0
