GeneID	Adipose_rep1	Adipose_rep2	Adipose_rep3	Adipose_rep4	Adipose_rep5	Adipose_rep6
NP_034112.3	124.968	125.364	126.933	146.478	173.041	203.036
NP_034113.1	1580.33	2319.42	1974.46	1811.48	1926.02	1623.33
NP_034114.1	3.77144	4.11956	3.62981	2.43263	3.17142	3.37955
NP_034115.2	4.12262	1.84738	2.31982	3.0397	1.32673	2.53157
NP_034117.3	1.90478	1.80052	1.71034	2.60373	1.8671	2.5329
NP_034119.1	0.0	0.0	0.0	0.808091	0.133554	0.214058
NP_034120.2	0.205099	0.764119	1.53111	9.42813e-07	0.458907	0.663269
NP_034121.4	0.0	0.0	0.0	0.0	0.0	0.0
NP_034122.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034123.1	0.0	0.0	0.0	0.0	19.5946	0.0
NP_034124.1	7.74656	9.21112	9.06007	14.1668	15.0908	25.7561
NP_034125.2	2.32418	2.01132	1.60403	2.40222	2.12742	2.57465
NP_034126.1	0.0	0.0	0.0192141	0.0	0.0	0.0
NP_034127.2	0.0779138	0.0	0.0	0.0	21.2553	0.0
NP_034129.1	0.585017	0.0267676	0.506007	0.623492	1.56774	0.288832
NP_034131.2	0.0	0.0	0.0	0.0	47.3291	0.0
NP_034132.2	0.0	0.0	0.0	0.0	4.80316	0.0
NP_034133.2	0.0	0.0	0.0	0.0	0.615765	0.0
NP_034134.3	0.0	0.0	0.0	0.0	38.4149	0.0
NP_034135.2	0.0	0.0	0.0412652	0.0	31.9818	0.0
NP_034136.2	0.0818312	0.0	0.0850524	0.0	2.37081	0.0
NP_034137.1	0.0	0.0	0.0	0.0	23.5972	0.0
NP_034138.3	16.842	15.6872	14.3104	16.9726	16.4675	14.3973
NP_034139.2	0.055267	0.105181	0.0	0.0	0.0	0.024206
NP_034140.1	0.0	0.00243918	0.249733	0.0	0.244155	0.205458
NP_034141.3	0.0	0.0	0.0	0.0	33.9824	0.0
NP_034142.3	0.403568	0.486719	0.381082	0.261011	10.308	0.295062
NP_034145.1	0.354691	0.196877	0.444369	0.184747	0.162424	0.28537
NP_034147.1	9.63273	2.88305	10.1275	15.3342	8.86503	10.6796
NP_034148.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034150.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034152.2	62.6055	56.4642	49.9456	64.8334	57.5715	69.1691
NP_034153.2	222.101	210.691	195.522	222.796	209.73	225.919
NP_034154.2	1.05383	3.40429	1.74072	3.39509	2.61473	3.44994
NP_034157.1	201.847	237.637	185.534	220.808	226.04	181.369
NP_034158.1	173.645	173.921	159.853	102.258	102.311	106.611
NP_034160.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034173.1	32.5088	27.9422	63.3351	17.7044	16.7562	18.2981
NP_034175.2	18.2794	20.5391	18.4331	13.5466	14.008	17.794
NP_034176.1	164.219	119.413	157.106	160.245	113.099	131.451
NP_034178.2	26.7281	25.7038	30.2412	30.2107	24.6977	30.766
NP_034179.1	1.95026	1.66439	2.20917	1.82212	2.50037	2.08196
NP_034180.2	0.393885	2.93615	0.705475	0.871715	0.340145	0.29372
NP_034181.2	0.100456	0.180723	0.0744676	0.188721	0.0362382	0.134564
NP_034182.2	0.202496	0.192316	0.255497	0.0228722	0.159737	0.17916
NP_034183.1	0.0157948	0.00295156	0.0	0.0	0.114104	0.0
NP_034184.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034185.1	0.0972407	0.275746	0.498891	0.0801974	0.0234217	0.0117479
NP_034186.2	0.39229	0.302461	0.203375	0.385844	0.0	0.0484948
NP_034187.1	0.0	0.0	0.0	0.0	0.0	0.258723
NP_034188.2	7.87147	8.68704	12.095	8.83882	9.83871	10.5332
NP_034189.1	0.145927	0.0862532	0.0	0.0	0.0	0.126508
NP_034190.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_034191.3	2.53496	0.645124	1.61304	0.935868	0.0	1.3512
NP_034192.1	22.2298	21.6651	20.2615	19.4427	20.2544	22.1774
NP_034197.3	1.61673	1.47009	1.47078	1.09468	1.24345	1.47052
NP_034199.1	0.0	0.0	0.0	0.0	0.0	0.0
