GeneID	Colon_rep1	Colon_rep2	Colon_rep3	Colon_rep4	Colon_rep5	Colon_rep6
NP_033476.1	56.2181	53.1942	66.6826	62.1902	74.6967	64.2113
NP_033477.2	7.60921	10.8508	10.7379	9.419	12.6119	9.95329
NP_033478.1	0.050919	0.147781	0.256699	0.0	0.145094	0.0
NP_033479.2	8.21014	12.104	9.82654	10.7212	7.82679	9.7609
NP_033480.1	26.0815	30.6501	29.3157	36.1483	41.9443	18.7181
NP_033481.1	47.1506	61.4787	62.1963	59.0421	58.9336	58.0855
NP_033482.1	104.089	141.036	118.549	121.589	121.392	127.821
NP_033483.3	11.1697	11.1348	17.6141	14.7084	16.8276	13.5695
NP_033484.3	24.5552	38.6681	23.2597	21.2078	26.7486	32.2061
NP_033485.1	32.0388	52.4659	46.5613	43.9307	42.6395	30.0486
NP_033486.1	130.669	150.218	169.51	158.057	153.362	146.284
NP_033487.2	3.2565e-09	0.826835	1.4608	1.77281	0.458666	0.0523053
NP_033489.1	0.0	0.0	0.0	0.0738046	0.0	0.0802822
NP_033490.1	0.251587	0.309824	0.190146	0.163541	0.518165	0.101525
NP_033491.2	0.348414	0.236811	0.919859	0.732851	0.63861	0.950421
NP_033492.1	116.724	187.453	258.557	204.064	283.028	172.158
NP_033493.3	17.6783	20.1822	51.148	21.016	62.1335	16.3829
NP_033496.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_033497.1	12.3732	15.0325	12.6532	16.2138	12.2998	15.0885
NP_033499.1	2.18137	1.3122	0.34814	1.48571	1.37411	2.33376
NP_033500.1	1.15066	3.29968	1.26935	2.00093	1.01338	1.75452
NP_033501.2	9.31662	9.14517	72.4143	11.514	117.743	13.5228
NP_033502.2	0.0	0.0	0.054766	0.0	0.0623825	0.0882922
NP_033503.2	1.35397	0.90432	1.85104	1.99089	1.87358	2.76884
NP_033504.2	36.6161	32.9555	39.2425	38.9917	41.6762	41.825
NP_033505.1	0.0	0.0	5.69056e-07	1.1257	1.14276e-08	0.0167662
NP_033506.1	0.000230224	0.288392	0.0	1.48587e-07	0.571411	0.0
NP_033508.1	0.0	0.0	0.0	0.0	0.0435709	0.0
NP_033516.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_033519.1	0.0409612	0.0625088	0.0118387	0.0310713	0.0533543	0.0660381
NP_033522.1	2.1902	2.11948	2.42511	2.90244	2.70544	2.06008
NP_033523.1	83.4468	117.656	103.962	116.922	128.187	104.312
NP_033524.1	80.3192	93.9094	90.6471	98.4165	91.2427	102.879
NP_033525.2	159.242	188.001	191.197	219.885	220.35	244.904
NP_033527.1	0.0243336	0.0422722	0.0612473	0.0902943	0.124239	0.0
NP_033529.3	179.789	189.967	209.53	221.62	197.798	212.009
NP_033530.2	122.323	182.313	213.105	169.108	220.303	197.619
NP_033532.1	5.27606	6.31859	5.10006	6.55061	6.83761	6.37314
NP_033533.1	14.618	16.5543	15.7843	18.5641	15.5054	17.0057
NP_033534.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_033535.2	327.726	359.083	459.739	418.668	378.703	465.895
NP_033536.2	391.376	491.378	391.691	499.76	287.023	513.153
NP_033537.1	5.64399	5.40132	6.48403	4.89056	8.71178	5.3323
NP_033538.2	0.13256	0.845151	0.0834933	0.0738641	0.0753355	0.0267515
NP_033541.1	1.13815	2.07116	2.04246	1.84142	3.51831	2.0559
NP_033542.2	7.39197	8.75268	10.2138	9.16627	12.6434	10.2996
NP_033543.2	6.9024	8.89367	7.58045	7.93743	6.59479	8.61335
NP_033544.1	0.0	0.0232231	0.0605447	0.0	0.0	0.0
NP_033545.1	0.084419	0.0556035	0.0	0.122921	0.0526341	0.0666242
NP_033546.2	5.44675	7.1139	9.71771	9.16993	5.45964	7.82636
NP_033547.1	0.0	0.0139287	0.019895	0.0714448	0.0682416	0.0
NP_033548.1	0.0137556	0.0	0.0	0.0	0.0	0.0
NP_033549.1	1.3278	1.8254	2.99631	3.07139	3.14714	2.0041
NP_033552.2	0.532501	0.288002	0.456199	0.300639	0.404825	0.145674
NP_033553.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_033555.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_033556.2	11.4603	17.2875	19.1301	19.3647	14.8276	17.7511
NP_033557.2	10.9197	13.1828	12.965	12.7617	11.7741	13.2129
NP_033558.3	12.6497	17.7899	15.7103	18.8717	17.7435	14.6256
NP_033561.1	1.72388	1.3811	1.02063	3.40063	0.705886	0.729294
NP_033562.3	250.215	340.783	323.447	295.5	298.151	306.411
NP_033563.2	24.5476	34.7047	30.5799	34.7892	31.5839	31.5034
NP_033564.2	4.51314	5.18602	5.61509	5.61357	5.45722	4.53054
NP_033568.2	8.16196	10.2744	9.34436	9.85863	8.53903	8.87851
NP_033569.2	56.7969	63.3535	69.8612	72.9069	70.0755	55.8442
NP_033570.2	1.95446	2.80298	2.2794	1.78719	3.56859	2.26593
NP_033571.1	2.11306	5.07374	3.68987	3.96811	2.65918	2.84038
NP_033572.2	51.2276	50.7145	75.9607	72.413	40.1997	68.6014
NP_033573.1	4.8721	4.41132	5.78733	3.93625	4.44627	3.01567
NP_033575.3	0.741478	0.786205	0.534487	0.72818	0.782046	0.162749
NP_033577.1	2.64529	2.73546	4.30834	3.47751	2.80238	3.40246
NP_033579.1	0.0	0.0	0.0595448	0.0	0.0	0.638777
NP_033581.2	2.52524	3.56081	3.36355	2.45316	1.928	1.66248
NP_033582.2	0.00372064	0.0	0.0	0.0	0.0	0.0
NP_033584.3	5.88222	8.94448	7.80598	10.0733	5.70076	8.9006
NP_033586.2	0.0	0.145733	0.146021	0.0	0.0	0.375871
NP_033587.2	4.89981	5.6747	5.76396	5.60814	5.13924	6.09379
NP_033588.2	4.50304	5.48514	10.058	4.73702	3.32687	4.53881
NP_033590.2	9.14008	12.0712	9.62136	13.54	10.9973	13.5183
NP_033591.2	40.5616	48.31	50.7946	63.1549	55.2998	52.1524
NP_033592.2	0.077536	0.135658	0.00283808	0.0	0.117616	0.141008
NP_033595.1	0.613349	0.649097	0.694532	1.21607	1.11198	0.856856
NP_033596.3	0.0	0.189515	0.0	0.242988	0.0	0.131951
NP_033597.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_033598.2	11.1896	16.2224	15.1527	15.135	13.8592	13.689
NP_033599.2	0.051273	0.0490318	0.0294917	0.0111565	0.0245938	0.0128511
NP_033600.3	0.0127163	0.0	0.0	0.0	0.0	0.0
NP_033601.2	0.0	0.0528204	0.0275746	0.0541998	0.010347	0.102949
NP_033603.2	0.490937	0.771712	0.723957	0.833892	0.626684	0.833808
NP_033605.1	13.1086	14.0673	25.6181	24.3804	18.3805	16.4913
NP_033606.2	0.454196	0.359223	0.665929	0.644424	0.681382	0.800657
NP_033608.3	1.59254	0.63958	1.39414	0.65843	1.55377	1.15233e-07
NP_033610.1	22.0702	28.2071	31.8205	29.8835	24.5276	26.416
NP_033722.1	11.9793	16.7489	18.8517	16.7898	11.8586	16.2297
NP_033723.1	1.38818	1.9391	2.32862	2.12539	2.45058	2.67802
NP_033725.2	0.145093	1.0908	0.590524	1.28345	0.358092	0.545663
NP_033726.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_033731.3	2.6014	5.71923	5.50243	5.99831	8.50797	6.12201
NP_033732.2	1.06588	1.10531	1.23839	1.20833	1.5634	1.23267
NP_033735.3	25.3255	23.7066	15.4431	18.7915	48.0709	14.0093
NP_033736.1	4.35853	3.03939	9.53629	3.43183	13.7923	4.27801
NP_033738.1	1.85776	1.5603	4.84251	2.59314	4.79357	1.94312
NP_033739.1	1558.14	1687.31	1881.3	1997.19	1641.52	1993.74
NP_033740.2	2019.41	2947.48	2486.03	2070.66	1655.92	2346.54
NP_033741.1	0.0274006	0.0	0.30393	0.0407501	0.0	0.0
NP_033746.1	3.31094	3.8067	6.00137	8.70098	0.0611218	1.87723
NP_033748.2	0.0	0.0	0.0149972	0.0221118	0.0	0.0
NP_033749.2	0.00122059	0.00077834	0.0391466	0.0	0.000587027	0.00147225
NP_033750.1	0.924451	1.31741	0.601152	1.34419	0.903221	0.879195
NP_033751.3	3.3921	4.05504	3.94004	3.92348	4.00435	4.99898
NP_033752.1	0.77808	0.913159	1.02842	1.14635	0.650717	1.09127
NP_033753.2	0.0	0.0	0.151714	0.0	0.1138	0.0
NP_033756.2	0.264646	0.613792	0.171473	0.30903	0.0860066	0.366409
NP_033757.1	7.40727	6.77931	6.79561	11.117	3.85289	8.06531
NP_033758.2	2.87366	6.61529	4.84947	8.34841	3.46368	3.22329
NP_033760.2	0.0	0.856134	0.0	0.309463	0.0	0.0
NP_033761.2	0.369139	0.720442	0.300491	0.887518	0.241026	0.38361
NP_033762.1	22.4592	28.3262	24.0759	25.4545	27.6473	25.8857
NP_033763.3	0.300561	0.376545	0.519139	0.61654	0.327199	0.485899
NP_033764.2	15.3504	17.1372	17.1081	17.8279	16.3562	19.0681
NP_033768.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_033769.1	3.26876	4.78027	1.64823	2.95193	0.233132	2.50422
