GeneID	Lung_rep1	Lung_rep2	Lung_rep3	Lung_rep4	Lung_rep5	Lung_rep6
XP_015290212.3	0.0	0.0	0.056582	0.0	0.0	0.0
XP_015290224.1	0.0	4.30787e-10	1.74325e-11	0.0	2.77437e-10	2.41361e-10
XP_015290233.3	1.18669	0.236815	0.466761	0.5965	1.4932	1.13494
XP_015290290.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290331.3	0.0	0.0	2.22673e-06	0.0	0.0	0.0
XP_015290348.3	0.809155	0.72614	0.517368	1.47893	0.241995	0.390587
XP_015290352.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290354.1	2.15938	1.68437	0.312141	0.28571	0.304154	2.10189
XP_015290373.3	0.062015	0.0679076	0.0399319	0.0463131	0.145509	0.0660661
XP_015290392.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290436.1	0.0	0.0	0.109326	0.182575	0.0	0.00825957
XP_015290452.3	0.364136	0.324491	0.0947054	0.280123	0.680011	0.412435
XP_015290470.3	0.797458	1.39277	2.50683	1.06963	1.04662	1.20362
XP_015290476.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290477.3	0.0	0.0157017	0.0	0.0	0.0368986	0.0
XP_015290480.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290529.1	0.76833	1.79144	1.041	1.56362	1.23987	2.69436
XP_015290601.1	43.739	59.2675	50.8847	60.5158	64.0741	60.1786
XP_015290606.2	0.0	0.0	0.0	0.0	1.09723e-08	0.0
XP_015290615.3	1.11333	1.19359	1.09476	1.15784	1.2225	1.08062
XP_015290623.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290681.3	32.9128	20.1104	16.8995	19.1089	21.1733	14.6607
XP_015290688.3	0.257029	0.231452	0.459599	0.284675	0.311751	0.247661
XP_015290731.3	1.98633	3.63372	7.28743	5.92169	5.21882	3.57436
XP_015290742.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290746.2	0.0	0.0	0.530462	0.0	0.103275	0.0
XP_015290747.3	0.0	0.0299847	0.0206421	0.0	0.0	0.0
XP_015290748.3	0.0	0.0	0.0781823	0.0	0.0	0.0
XP_015290749.1	0.0	0.0	0.0141944	0.0103202	0.0	0.0
XP_015290757.2	222.305	319.3	310.142	341.322	300.213	343.037
XP_015290759.3	0.161209	0.237912	0.0525514	0.075504	0.475734	0.0564746
XP_015290760.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290761.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290766.2	0.0320275	0.0	0.167057	0.00331554	0.0596741	0.0
XP_015290769.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290770.3	0.0	0.168366	0.293907	0.168259	0.0863482	0.127496
XP_015290772.3	0.0	0.0	0.0	0.0205554	0.0	0.074649
XP_015290773.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290774.3	0.132329	9.00082e-11	9.01779e-11	0.0	0.0	0.0
XP_015290776.3	0.0	0.0	0.00773948	0.0	0.0	0.0
XP_015290778.3	0.0	0.0	0.0160549	0.0	0.0	0.0
XP_015290779.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290780.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290781.3	0.0	0.0	0.0278771	0.0	0.0	0.0
XP_015290783.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290786.3	0.0	0.0	0.0706141	0.0	0.0745752	0.0
XP_015290787.3	0.0	0.0	0.0761276	0.0	0.0	0.0
XP_015290788.3	0.0	0.0	0.062128	0.0	0.0	0.0
XP_015290791.2	0.389193	0.914566	0.119639	0.057378	1.29475	0.210748
XP_015290793.3	0.0742206	0.590291	0.455156	0.107595	0.0830655	0.279876
XP_015290796.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290797.3	0.0290708	0.111163	0.0155703	0.0677176	0.0325091	0.0
XP_015290798.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290800.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290802.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290803.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290804.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290805.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290809.3	0.278629	0.315455	0.312841	0.331215	0.39469	0.346887
XP_015290815.1	10.7036	14.0376	12.0736	15.7046	11.4562	11.8996
XP_015290838.2	10.0393	11.8365	4.42029	10.7272	10.7351	11.0065
XP_015290841.2	0.0	0.696613	0.408451	0.273002	0.968413	0.0
XP_015290842.2	2.49144	5.11122	3.7344	5.76578	8.8462	5.22034
XP_015290848.1	0.0	0.0	0.281337	0.0	0.0	0.0
XP_015290867.3	0.0676588	0.194261	0.117512	0.141118	0.303661	0.115885
XP_015290869.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290872.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290873.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290874.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290875.3	0.0	0.0	0.0	0.0	0.0	0.0
