GeneID	Skin_rep1	Skin_rep2	Skin_rep3	Skin_rep4	Skin_rep5	Skin_rep6
NP_034930.1	0.171562	0.276884	0.208463	0.389564	0.151483	0.334288
NP_034937.1	46.0745	26.6886	57.8424	37.0495	42.7599	27.9077
NP_034938.3	0.00551057	0.00471753	0.00399271	0.0122912	0.0194315	0.0484449
NP_034939.2	98.9602	170.735	35.0974	277.567	61.9442	193.791
NP_034940.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_034941.2	8.93747	8.6275	10.5972	6.11914	2.07585	7.38686
NP_034943.3	12.3593	10.2928	11.5389	11.8005	11.96	9.68741
NP_034944.2	0.100126	0.022727	0.0860411	0.0	0.110784	0.0717835
NP_034945.1	0.680826	0.298279	0.960104	1.12512	0.704168	0.129504
NP_034946.1	0.0265154	0.0831334	0.0451859	0.0	0.0767971	0.150841
NP_034947.1	129.999	146.904	143.492	140.005	136.861	132.705
NP_034948.3	14.6192	13.9023	15.1006	17.5679	11.8484	15.5345
NP_034949.3	2.69302	1.02491	0.507581	0.304563	0.00608574	1.16514
NP_034951.2	19.5287	4.80421	5.11997	1.22602	5.84815	5.26252
NP_034952.2	17.935	14.4531	17.2682	18.4155	18.8005	14.394
NP_034954.2	0.0	0.0287198	0.0727645	0.141643	0.0	0.0
NP_034958.2	80.1026	75.5444	93.6696	60.7763	108.124	59.5246
NP_034959.2	0.0	3.74858	3.16013	6.14741	1.26993	5.1102
NP_034960.1	15.6347	17.304	14.6378	17.6573	14.2842	14.9695
NP_034961.2	33.6822	44.5082	32.6428	33.1868	41.2124	27.2373
NP_034963.2	126.689	92.3536	127.505	103.866	89.4987	82.5698
NP_034964.1	81.8763	109.203	120.033	67.5082	98.9328	92.7565
NP_034965.2	2.41224	1.66729	3.33598	2.87888	2.03201	1.8291
NP_034966.1	0.146135	0.0	0.0207303	0.0538164	0.0528447	0.0
NP_034967.2	0.656325	0.431181	0.0	0.129511	0.419246	0.458645
NP_034969.1	2.60824	2.60949	0.414777	1.03914	1.23621	3.16232
NP_034973.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034979.3	11.5802	14.3231	11.2284	12.0444	14.9177	9.28933
NP_034980.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034981.1	54.3518	46.0978	47.8839	46.6872	43.2505	35.7007
NP_034985.2	1871.6	2323.79	1965.64	1549.26	1276.76	2544.44
NP_034989.1	2.4729	0.000541236	0.323578	4.08645e-05	8.02767e-06	0.0
NP_034991.3	4.50425	0.0	0.107463	0.36509	0.0	0.0
NP_034992.2	9.22942e-05	1.1172e-05	7.39851e-05	0.000157853	2.2e-05	0.000157618
NP_034995.3	76.0633	37.5043	55.1757	46.7546	49.5453	62.3007
NP_034996.2	2.46477	4.00714	3.45316	1.98547	1.94851	2.7081
NP_034997.2	1.93085	0.654677	0.318014	0.883305	0.0	0.12063
NP_035000.2	7.5899e-09	5.8618e-10	0.483335	0.644046	0.0	0.588734
NP_035001.2	4.07843	0.833577	2.77349	1.51965	2.32266	0.899171
NP_035002.2	0.737428	0.0	0.0	0.0	0.0	0.0
NP_035007.1	1.86062	0.43367	0.553023	0.11011	0.587573	0.402542
NP_035008.2	16.8408	15.6891	14.5242	16.0527	12.5901	14.7036
NP_035009.3	18.0154	19.9957	15.092	15.0438	18.5603	13.3418
NP_035010.3	11.7902	13.8525	13.3565	14.0448	12.0486	12.5526
NP_035012.2	35.758	17.6616	28.8559	27.4477	23.9645	26.9854
NP_035013.1	0.296477	1.44336	0.852413	1.55623	1.82065	0.889969
NP_035015.2	137.855	150.185	142.358	176.091	151.761	144.881
NP_035016.1	629.099	671.669	619.869	709.766	601.964	776.089
NP_035017.2	62.3047	73.4975	66.485	75.505	65.3506	79.0848
NP_035021.1	119.727	88.7566	108.886	96.6785	95.3872	83.8889
NP_035022.2	1.45103	2.58893	3.13599	2.59156	2.57702	1.70761
NP_035023.3	14.3642	11.1694	12.0369	12.1553	12.8306	10.0094
NP_035024.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035025.3	0.0385749	0.0115173	0.0292778	0.0998714	0.0186252	0.0
NP_035026.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035028.2	9.65746	0.868347	7.84448	6.53499	6.1491	0.474508
NP_035029.2	3.68297	2.10666	1.50231	1.28162	1.61323	0.512743
NP_035030.2	6.86493	6.88111	7.48151	6.12503	6.67386	4.4712
NP_035031.2	21.7576	19.8336	14.8301	20.483	14.4385	14.1679
NP_035032.1	110.092	82.3874	89.0126	87.3363	77.3176	72.5177
NP_035033.1	10.898	16.7678	16.9261	14.1515	15.1395	12.657
NP_035034.2	0.197454	0.159085	0.190817	0.0873461	0.186011	0.248589
NP_035037.2	119.041	129.263	115.858	122.289	113.8	73.5655
NP_035038.2	0.438471	0.530959	1.67066	1.18597	1.19637	1.21354
NP_035039.1	12.2012	12.1687	12.9679	10.3229	6.98486	14.2587
NP_035040.1	0.0	0.0	0.0	0.173885	0.0	0.0297693
NP_035041.2	36.7863	37.4301	38.4998	33.942	36.6961	40.3164
NP_035044.1	16.5225	17.6601	19.8774	13.5695	17.589	13.1423
NP_035045.2	0.0	0.0	0.0	0.0	0.56404	0.0
NP_035046.1	0.0164797	0.0295436	0.112256	0.121404	0.0	0.125495
NP_035047.2	155.08	45.3075	79.4233	74.518	73.7686	62.3378
NP_035049.1	0.0	0.0179007	0.0294371	0.0	0.0	0.0
NP_035050.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_035051.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035052.2	34.7553	38.3254	41.7413	41.0763	42.3337	39.8794
NP_035054.1	37.1924	12.9737	32.4051	29.1194	28.4166	26.3328
NP_035055.2	100.289	107.423	108.003	111.598	117.184	98.3151
NP_035056.1	14.2957	14.8459	15.1492	16.1785	14.574	13.9437
NP_035057.1	0.0	0.0	0.0	0.0897669	0.0	0.0
NP_035058.2	31.3351	26.873	26.3915	24.9406	24.4791	19.1905
NP_035060.1	27.6259	3.43936	24.7856	3.68063	16.5084	2.38525
NP_035061.3	7.25076	3.66519	4.26191	5.6352	3.10724	7.74826
NP_035063.1	0.809758	0.988069	1.02059	0.629295	0.410584	0.691463
NP_035064.1	4.48912	3.36967	5.79413	6.54861	6.1268	3.09535
