GeneID	Thyroid_rep1	Thyroid_rep2	Thyroid_rep3	Thyroid_rep4	Thyroid_rep5	Thyroid_rep6
XP_038403542.1	1.10196	1.47545	1.27944	0.767441	1.39339	
XP_038403543.1	0.252504	0.345825	0.198559	0.126371	0.0962167	
XP_038403544.1	0.0	0.0	0.0	0.0	0.0	
XP_038403548.1	5.32903	5.42862	4.34269	5.56508	4.78668	
XP_038403554.1	1.14048	0.574758	0.479922	0.596057	0.210604	
XP_038403558.1	74.3983	86.1607	91.5339	74.7685	65.9671	
XP_038403560.1	51.5402	53.0652	51.7183	62.7075	49.8136	
XP_038403561.1	41.7387	50.1636	39.2908	45.7483	49.9993	
XP_038403562.1	0.297315	0.183301	0.22095	0.233606	0.212225	
XP_038403563.1	0.189858	1.04954e-09	1.0124	0.283059	3.39864e-05	
XP_038403568.1	1.5812	1.01113	1.18722	1.37425	3.78895	
XP_038403570.1	0.235599	0.0	0.0	0.0	0.0	
XP_038403574.1	79.8097	81.8021	77.3839	94.9353	75.6572	
XP_038403575.1	202.891	214.997	173.688	178.454	228.072	
XP_038403576.1	2.29767	4.10461	1.53444	2.76149	4.14397	
XP_038403577.1	0.70392	8.48355e-11	0.0	3.00551e-05	0.0	
XP_038403580.1	10.0054	20.9973	17.0134	7.61318	9.80924	
XP_038403583.1	0.0961563	0.0643945	0.0	0.0246776	0.112015	
XP_038403587.1	0.0	0.0	0.0	1.4946e-10	0.0	
XP_038403615.1	0.327956	0.973458	0.508871	0.579699	0.773767	
XP_038403617.1	20.3926	21.916	22.1289	17.4764	24.3553	
XP_038403618.1	9.29977e-10	9.36746e-11	2.24645e-10	0.0	0.0	
XP_038403637.1	0.0	0.0638226	0.0	0.0	0.0587756	
XP_038403640.1	12.3299	6.16575	0.900735	0.0073253	2.20863	
XP_038403643.1	3.26039e-05	6.26374e-07	8.36464e-06	0.0538004	1.09586e-08	
XP_038403655.1	0.586052	0.165616	0.233791	1.10552	0.481454	
XP_038403656.1	0.700404	1.31133	0.0	0.0	0.0	
XP_038403657.1	0.0	0.0	0.0	0.0	0.0	
XP_038403673.1	7.05303	4.93232	8.18579	7.52199	6.90047	
XP_038403677.1	1.54348	1.07511	1.23815	1.41124	1.55502	
XP_038403678.1	0.393143	0.881527	1.00157	1.35635	0.501666	
XP_038403682.1	0.0	0.0	0.0	0.0	0.0	
XP_038403683.1	0.0	0.0	0.0	0.0	0.0	
XP_038403714.1	20.3091	16.9497	16.0224	14.7367	15.3561	
XP_038403717.1	36.3815	36.2802	37.4976	32.4402	34.4933	
XP_038403718.1	5.46474	4.95751	10.3703	6.41939	5.10988	
XP_038403724.1	48.2144	44.6576	39.2808	35.9162	51.8804	
XP_038403727.1	0.0	0.631605	1.55944	0.288273	0.54379	
XP_038403730.1	8.66233	11.303	11.4128	10.671	14.2964	
XP_038403731.1	2.91575	1.33397	3.00589	1.65182	2.30317	
XP_038403733.1	0.0321749	0.0503049	0.0358436	0.0	0.0	
XP_038403734.1	5.0734	6.80139	6.20287	4.05025	4.29452	
XP_038403735.1	34.8156	43.1008	30.586	39.9687	32.1302	
XP_038403736.1	23.7839	19.9466	23.4051	22.3072	23.2745	
XP_038403737.1	0.0	0.0	0.0	0.0	0.0	
XP_038403753.1	30.5525	37.8922	71.5108	35.9425	62.4255	
XP_038403756.1	0.0	0.0	0.0	0.0	0.0	
XP_038403773.1	43.9777	37.833	41.2784	35.3409	37.0427	
XP_038403774.1	27.5446	32.0209	34.5195	24.4934	33.7731	
XP_038403775.1	7.10704	5.28831	6.56179	5.50511	7.52061	
XP_038403779.1	167.414	159.586	143.979	154.0	155.116	
XP_038403780.1	0.0	0.0	0.0	0.291674	0.254376	
XP_038403787.1	0.0	0.0	0.0475567	0.0	0.0	
XP_038403788.1	0.656658	0.46097	0.681387	0.668811	0.699478	
XP_038403794.1	1.49008	0.969106	0.484879	9.91984	0.842808	
XP_038403799.1	0.000418058	0.000447189	0.000548075	0.000683359	0.000295932	
XP_038403803.1	0.0	0.0	0.0	0.0	0.0	
XP_038403810.1	0.862795	1.09889	1.6975	1.25418	0.60007	
XP_038403819.1	152.811	132.533	119.668	130.281	148.258	
XP_038403820.1	0.595031	0.279119	0.537657	0.405496	0.84269	
XP_038403821.1	38.8492	33.0253	37.3047	51.0034	30.0809	
XP_038403825.1	0.0	0.0	0.0	0.0	0.0	
XP_038403840.1	0.0	0.0	0.0	0.0	0.0	
XP_038403855.1	2.93741	4.08451	4.29592	3.35629	3.91717	
XP_038403862.1	0.0	0.0	0.0	0.0	0.0	
XP_038403869.1	8.09122	7.38863	8.59139	9.52198	6.73608	
XP_038403870.1	0.27807	0.764105	0.823958	0.522179	0.682051	
XP_038403871.1	0.00124796	0.00313225	0.00165917	0.00250364	0.0	
XP_038403873.1	4.13493	4.50533	3.95636	3.87059	3.69686	
XP_038403874.1	31.6986	33.6418	21.6116	26.8999	43.5683	
