row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"4,5,7,9,11,13,14,15,17,19,23,31,32,35,45,47,48,52,53,58,64,67","1","31,35,67",""
2,"30,60,61,63","1","34,63",""
3,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","14,48,51,54",""
4,"4,5,7,8,9,14,15,19,23,32,35,40,42,45,47,48,52,53,58,64,65,67,68","1","40,65,68",""
5,"5,7,9,11,14,15,17,19,23,32,33,35,45,47,58,67","1","11,28",""
6,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,11","1"
7,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","50,66",""
8,"7,14,21,23,30,32,45,58,60,61,63","1","21,58",""
9,"4,5,7,8,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,65,67","1","8,65",""
10,"7,9,14,19,21,23,30,32,45,47,58,60,63,67","1","2","2"
11,"17,23,32,33,45,58","1","33,55",""
12,"30,60,61,63","1","60,61",""
13,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","44",""
14,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","45,62",""
15,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,28",""
16,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","28",""
17,"4,5,7,9,11,13,14,15,17,18,19,23,25,32,33,35,45,47,48,52,53,58,64,67","1","18,23,25",""
18,"3,4,5,7,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,67","1","3","3"
19,"4,5,7,9,11,14,15,17,19,23,32,35,45,47,48,52,53,58,64,67","1","35",""
20,"4,5,7,9,11,13,14,15,17,19,23,32,33,35,45,47,48,52,53,58,64,67","1","13,53,67",""
21,"4,5,7,9,14,15,19,23,32,35,41,42,45,47,48,52,53,58,64,67,68","1","41,68",""
22,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,12",""
23,"4,5,7,9,11,14,15,17,18,19,23,25,32,33,35,45,47,48,52,53,58,64,67","1","18,23,25",""
24,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,58,64,67","1","4","4"
25,"4,5,7,9,14,15,16,19,23,26,32,35,45,47,48,52,53,57,58,64,67","1","16,26,57",""
26,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","2,5","5"
27,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,28",""
28,"3,4,5,6,7,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,67","1","3,6",""
