parameter,best_mean,best_median,worst_mean,worst_median
mean_dist_quant,0.2975,0.3875,0.5,0.5
k_seeding,23.0,15.0,40.0,40.0
alpha_mad,0.9,1.0,0.25,0.25
alpha_accept,0.55,0.4375,0.625,0.625
min_intersection,3.0,3.0,4.433333333333334,5.0
