# ANWIL Iterative Score History
# stop_iter=8
# stop_reason=1
# best_iter=3
# best_score=  6.0046931906313294E-01
iter,score,roughness,rmse,coverage,coverage_penalty
1,  6.2731194065639539E-01,  2.1499923137271578E-03,  4.0649939288015496E-02,  9.3450121823440468E-01,  1.0700895627383720E+00
2,  6.0494115510765312E-01,  1.7561689181586166E-03,  5.9126112856843070E-02,  9.1265625965927411E-01,  1.0957027790202618E+00
3,  6.0046931906313294E-01,  1.6064061331336368E-03,  7.0275331137285957E-02,  8.9767743791533916E-01,  1.1139858904342843E+00
4,  6.0083829210380313E-01,  1.5346592500859856E-03,  7.7394543055426979E-02,  8.8624460474119082E-01,  1.1283566575741251E+00
5,  6.0267308058971558E-01,  1.4919078565990712E-03,  8.2197612716264676E-02,  8.7661875544723211E-01,  1.1407467542588461E+00
6,  6.0489933116265626E-01,  1.4609351428267942E-03,  8.5644610024005682E-02,  8.6807221044422778E-01,  1.1519778976533617E+00
7,  6.0719141426181855E-01,  1.4353664501632920E-03,  8.8291184465331740E-02,  8.6024487146110817E-01,  1.1624597055723891E+00
8,  6.0945824519086078E-01,  1.4126719624543067E-03,  9.0464084040888015E-02,  8.5294373364244536E-01,  1.1724102781415455E+00
